s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_leafarea
Micropholis_cayennensis	158.158	0.0150605	0.00038595	0.624337	0.83472	50.95	0.2968	1	0.00917431192660551	-1.8875	128.047838698493
Micropholis_melinoniana	96.4898	0.0197015	0.000505896	0.586214	1.15615	55.7	0.2294	1	0.00917431192660551	-1.815	40.8
Minquartia_guianensis	79.3684	0.0219723	0.000631027	0.687808	0.74752	47.5	0.3332	1	0.00917431192660551	-1.611	64.0617538310863
Mouriri_crassifolia	152.097	0.012914	0.000469409	0.774097	0.28432	47.05	0.3304	1	0.00917431192660551	-1.71271428571429	41.8929368209839
Neea_floribunda	74.27	0.036	0.0007652	0.451	0.28	50.92	0.308	1	0.00917431192660551	-1.90604	84.1458333333333
Oxandra_asbeckii	88.4798	0.0200704	0.00042399	0.774563	0.22388	50.55	0.307	1	0.00917431192660551	-2.16816666666667	22.7447239386729
Parinari_campestris	127.188	0.0168328	0.000528478	0.684594	0.79	51.29	0.2926	1	0.00917431192660551	-1.77825	21.1333333333333
Perebea_guianensis	81.0362	0.0232503	0.000525017	0.611273	0.111	43.88	0.3704	1	0.00917431192660551	-1.817	331.6
Pogonophora_schomburgkiana	77.2091	0.0196079	0.000510004	0.742812	0.102	47.45	0.3303	1	0.00917431192660551	-1.95122222222222	42.1970801353455
Poraqueiba_guianensis	102.587	0.0150152	0.000436106	0.68045	0.37643	49.67	0.3002	1	0.00917431192660551	-1.9081	81.3714526141131
Posoqueria_latifolia	110.049	0.0148985	0.000525017	0.610272	0.188	49.06	0.3257	1	0.00917431192660551	-2.07866666666667	145.280066935221
Pourouma_melinonii	133.599	0.0210644	0.000605913	0.424584	0.52832	51.5	0.2855	1	0.00917431192660551	-1.626	162.8
Pouteria_cladantha	117.039	0.0136502	0.000365883	0.81105	0.36472	47.33	0.3338	1	0.00917431192660551	-1.926	27.2777777777778
Pouteria_filipes	80.34	0.0278	0.0008959	0.696	0.68	50.92	0.308	1	0.00917431192660551	-2.19932	46.94
Pouteria_gonggrijpii	110.67	0.0204	0.00056	0.698	0.36	25.9	0.103	1	0.00917431192660551	-2.075213333	72.8908014876754
Pouteria_guianensis	134.381	0.0169864	0.000458734	0.78241	0.68776	48.9	0.3101	1	0.00917431192660551	-1.535625	83.3165893755461
Pradosia_cochlearia	145.264	0.0131776	0.000409088	0.668744	0.55783	50.12	0.2962	1	0.00917431192660551	-1.88470588235294	15.9333333333334
Protium_gallicum	73.5269	0.0182992	0.000576415	0.629281	0.36456	46.63	0.3412	1	0.00917431192660551	-2.47988235294118	15.9858822560518
Protium_guianense	74.0613	0.0167755	0.000539708	0.631841	0.53625	51.73	0.279	1	0.00917431192660551	-2.1838	15.35
Protium_opacum	87.0068	0.0161919	0.000652814	0.570551	0.51526	50	0.3071	1	0.00917431192660551	-2.06494117647059	73.8383765590084
Protium_sagotianum	91.3052	0.017324	0.000634172	0.600341	0.43475	50.77	0.2961	1	0.00917431192660551	-2.28675	89.5861111111111
Protium_subserratum	76.0565	0.0143521	0.000541486	0.535878	0.30798	45.31	0.3528	1	0.00917431192660551	-1.9713	51.2533333333333
Protium_trifoliolatum	68.8524	0.0191957	0.000565455	0.636525	0.30816	52.18	0.2734	1	0.00917431192660551	-2.312	23.7084853392381
Pseudopiptadenia_psilostachya	125.146	0.0326265	0.00066787	0.497293	0.81952	53.44	0.263	1	0.00917431192660551	-1.735	0.660277777777786
Qualea_rosea	103.374	0.0182251	0.000609376	0.61426	0.90532	53.14	0.2592	1	0.00917431192660551	-1.6115	42.9073749762315
Quararibea_duckei	50.6226	0.0323212	0.000811174	0.549618	0.144	46.56	0.3405	1	0.00917431192660551	-2.0644	95.6800261452084
Sextonia_rubra	108.44	0.0176303	0.000600484	0.469071	0.8395	50.94	0.2872	1	0.00917431192660551	-1.58138461538462	66.7499742565733
Siparuna_decipiens	66.9686	0.0249033	0.000664981	0.604553	0.17748	48.87	0.3165	1	0.00917431192660551	-2.397	44.4153846153846
Sloanea_garckeana	97.6875	0.0159052	0.000693899	0.75231	0.228	49.2	0.3053	1	0.00917431192660551	-2.409	66.1166666666666
Sterculia_pruriens	97.2102	0.0199834	0.00113244	0.462637	0.74992	51.13	0.2937	1	0.00917431192660551	-1.87427272727273	254.404609905425
Swartzia_panacoco	67.9219	0.0271255	0.000638916	0.808498	0.2633	52.82	0.2703	1	0.00917431192660551	-1.49	58.65
Swartzia_polyphylla	93.4165	0.023119	0.000638916	0.681947	0.85012	52.39	0.2698	1	0.00917431192660551	-1.515	23.8711999984015
Symphonia_globulifera	94.369	0.0194533	0.000572836	0.560202	0.65341	51.41	0.2877	1	0.00917431192660551	-1.74193103448276	22.141055615743
Tachigali_melinonii	75.7978	0.0334727	0.00055063	0.695721	0.58259	52.85	0.2686	1	0.00917431192660551	-1.80105882352941	20.7191374460856
Talisia_hexaphylla	112.436	0.0191683	0.000610183	0.753173	0.33204	50.29	0.296	1	0.00917431192660551	-1.80266666666667	41.3294610765245
Talisia_microphylla	94.8586	0.0215748	0.000610183	0.757044	0.13897	51.58	0.2856	1	0.00917431192660551	-2.042	20.8333333333333
Tapirira_guianensis	85.5896	0.0190872	0.000866584	0.539439	0.73928	50.55	0.2899	1	0.00917431192660551	-1.8894	66.5844164530436
Tapirira_obtusa	86.9807	0.0193492	0.000733124	0.455094	0.52302	50.87	0.2866	1	0.00917431192660551	-1.93375	62.0080890655518
Theobroma_subincanum	84.33	0.0188	0.000589	0.553	0.28	41.38	0.211	1	0.00917431192660551	-1.88714666675	77.7261403700885
Thyrsodium_guianense	118.86	0.0148125	0.00045672	0.618088	0.28849	47.47	0.328	1	0.00917431192660551	-2.1495	32.9809517189312
Trymatococcus_oligandrus	77.1364	0.0228015	0.00051596	0.54679	0.45285	51.48	0.2923	1	0.00917431192660551	-2.1556	16.8254619235084
Unonopsis_rufescens	67.6376	0.0211162	0.000596028	0.574773	0.191	49.41	0.3055	1	0.00917431192660551	-1.74688888888889	57.7106985562089
Vataireopsis_surinamensis	63.0505	0.023587	0.000525017	0.708361	0.20352	44.57	0.3672	1	0.00917431192660551	-1.762	11.2333333333333
Virola_michelii	93.255	0.0236594	0.000582326	0.473338	0.8165	49.19	0.3008	1	0.00917431192660551	-1.72569565217391	46.7880394405789
Vouacapoua_americana	71.6741	0.0257275	0.00106968	0.686976	0.67473	51.37	0.2827	1	0.00917431192660551	-2.02524489795918	38.5178207672394
Xylopia_nitida	103.273	0.022824	0.000800479	0.539613	0.36237	50.21	0.3031	1	0.00917431192660551	-1.6454	21.3514145329793
