time	temperature	snet	vpd	ws	rainfall
2004-07-21T12:30:00Z	27.493491520055954	657.2497606125494	-0.6853273609876988	1.3457526851742931	NA
2004-07-21T13:00:00Z	27.845114147523987	657.2497606125498	-0.7682259707881217	1.4106819990002892	0.1475684636502307
2004-07-21T13:30:00Z	28.081046510342276	700.3705467813497	-0.833182598528439	1.533485836208035	NA
2004-07-21T14:00:00Z	28.124358221567547	700.3705467813506	-0.8612817048434104	1.6674282530835558	0.1605963062177168
2004-07-21T14:30:00Z	27.964219742704188	573.4893446219639	-0.847798513574764	1.7916717932550168	NA
2004-07-21T15:00:00Z	27.84117623855775	573.489344621963	-0.839505528089303	2.050289741534509	0.1858478035398816
2004-07-21T15:30:00Z	27.93677328059249	514.1127065244482	-0.872440219142095	2.5590763834504897	NA
2004-07-21T16:00:00Z	27.945183363605906	514.1127065244482	-0.8923230275115589	3.0682587448090435	0.19670433901278692
2004-07-21T16:30:00Z	27.574740894264494	330.50713684538823	-0.8441291023494218	3.197884294024469	NA
2004-07-21T17:00:00Z	27.077801003376862	330.50713684539005	-0.7611353583447212	3.08841522802578	0.23112357740096048
2004-07-21T17:30:00Z	26.745930753749576	171.71313063647176	-0.6852611013829324	2.9606231043201667	NA
2004-07-21T18:00:00Z	26.48352421203822	171.71313063647358	-0.6215847976850546	2.810687360460913	0.2374766611221421
2004-07-21T18:30:00Z	26.151788592767957	31.827246934115465	-0.5688353330332497	2.6063710308097763	NA
2004-07-21T19:00:00Z	25.826356698092468	31.827246934115465	-0.5262762565510989	2.3756055439905643	0.23836126771623056
2004-07-21T19:30:00Z	25.604629684561303	0	-0.49217211453755316	2.1509082716415664	NA
2004-07-21T20:00:00Z	25.456656538678487	0	-0.4645033030159793	1.9653316709523543	0.23932629309160008
2004-07-21T20:30:00Z	25.331286090870606	0	-0.4412911670144176	1.8495892065111026	NA
2004-07-21T21:00:00Z	25.21991871729938	0	-0.41936461925773894	1.8062549927411997	0.23988922456056536
2004-07-21T21:30:00Z	25.11851201141434	0	-0.39560407707777356	1.8223960295936854	NA
2004-07-21T22:00:00Z	24.998700890081125	0	-0.36849925490186525	1.8510326308359537	0.0012867005004926768
2004-07-21T22:30:00Z	24.84623931409152	0	-0.3393211798461648	1.861285267419675	NA
2004-07-21T23:00:00Z	24.727680096525773	0	-0.3181764071537632	1.8545298087897215	0.002895076126108176
2004-07-21T23:30:00Z	24.695725177033523	0	-0.31131971080974247	1.801975314817478	NA
2004-07-22T00:00:00Z	24.666874149253772	0	-0.30201661706779803	1.6953671141198805	0.0038601015014776835
2004-07-22T00:30:00Z	24.54991883624814	0	-0.2748138667866624	1.5723914953611757	NA
2004-07-22T01:00:00Z	24.359022324779346	0	-0.24191426393930351	1.5390338388849956	0.009248159847289814
2004-07-22T01:30:00Z	24.13407847045039	0	-0.21713831271354184	1.6398044157380542	NA
2004-07-22T02:00:00Z	23.912532940524727	0	-0.19351215054388785	1.738181910371374	0.02324102779014542
2004-07-22T02:30:00Z	23.725827108693636	0	-0.1635575433100771	1.742851177780045	NA
2004-07-22T03:00:00Z	23.58383336269992	0	-0.13827286759581467	1.7431168436929898	0.03273044398127735
2004-07-22T03:30:00Z	23.489527512609527	0	-0.12897229155399692	1.7601660224585738	NA
2004-07-22T04:00:00Z	23.439868043730144	0	-0.12985479524108767	1.7828205372400026	0.04109399723447836
2004-07-22T04:30:00Z	23.432033162681194	0	-0.13160180296516275	1.8019098895590893	NA
2004-07-22T05:00:00Z	23.47009728608822	0	-0.127515863626174	1.8008091035864058	0.04680373070541366
2004-07-22T05:30:00Z	23.540756710912603	0	-0.11649120698242404	1.7908749387061622	NA
2004-07-22T06:00:00Z	23.55429904545349	0	-0.117903151231008	1.8457220720656369	0.0556497966462996
2004-07-22T06:30:00Z	23.463767202652036	10.181296734300235	-0.1453934789757377	1.9905814515287448	NA
2004-07-22T07:00:00Z	23.469634002680436	10.181296734300235	-0.17006530256848146	2.0689327554851045	0.07486988537240592
2004-07-22T07:30:00Z	23.75769971153585	121.14887542662987	-0.16615775425444235	1.9516951743986943	NA
2004-07-22T08:00:00Z	24.207644471284993	121.14887542662984	-0.15525970023802482	1.7792277174341755	0.09642211875565479
2004-07-22T08:30:00Z	24.66299290788902	270.8738274016314	-0.16684763678054923	1.714570232021764	NA
2004-07-22T09:00:00Z	25.128767706817314	270.8738274016315	-0.20657756543430106	1.7496332568881912	0.11475760088767266
2004-07-22T09:30:00Z	25.620716974301843	451.7415693874332	-0.27058278190655666	1.8242270560429135	NA
2004-07-22T10:00:00Z	26.035992440116047	451.74156938743295	-0.34260372128866357	1.855196156847832	0.13896365405318725
2004-07-22T10:30:00Z	26.276046080843514	449.34597015583313	-0.40374715784358206	1.8071015051707815	NA
2004-07-22T11:00:00Z	26.378127236766716	449.34597015583313	-0.4441064888392484	1.8135255724369066	0.1589075118108206
2004-07-22T11:30:00Z	26.44152268691488	481.68655978243396	-0.4721500575720283	1.969120626248473	NA
2004-07-22T12:00:00Z	26.677871601604807	481.68655978243396	-0.5564408692210218	2.162192032636583	0.20989301914283476
2004-07-22T12:30:00Z	27.157898629781243	598.98536501542	-0.7336837055440546	2.299591211364938	NA
2004-07-22T13:00:00Z	27.27631794361355	598.9853650154209	-0.8470373702481875	2.4707095375835877	0.2237250495231286
2004-07-22T13:30:00Z	26.580105239721547	469.70856362443374	-0.7660908609947819	2.7360129757794565	NA
2004-07-22T14:00:00Z	25.901292789301976	469.70856362443374	-0.6540899176516813	2.918435815298832	0.3133919906511979
2004-07-22T14:30:00Z	26.06686200841807	557.3190498086633	-0.6648400966586714	2.8632230779061474	NA
2004-07-22T15:00:00Z	26.598534318021336	557.3190498086624	-0.7131319098872182	2.758916540523575	0.3351050615970085
2004-07-22T15:30:00Z	26.828265295665005	464.83180804581843	-0.6868328044297314	2.847515073357985	NA
2004-07-22T16:00:00Z	26.634207140420926	464.83180804581934	-0.6190866928481846	3.0252351096838828	0.34314693972508636
2004-07-22T16:30:00Z	26.097691416503096	263.1736870143459	-0.5704880610173418	3.061427353981194	NA
2004-07-22T17:00:00Z	25.56657052717594	263.1736870143459	-0.5390659561164626	3.029939653099123	0.41182457893887203
2004-07-22T17:30:00Z	25.347165935305725	124.65671715861572	-0.5108824128941055	2.9975869733969036	NA
2004-07-22T18:00:00Z	25.313154503116493	124.65671715861572	-0.491070412894926	2.855042743293637	0.4423837158255683
2004-07-22T18:30:00Z	25.25956332582672	25.496020393457002	-0.4838052634755222	2.5412368226632998	NA
2004-07-22T19:00:00Z	25.099465031274804	25.496020393457002	-0.4667298404506382	2.2907482112569326	0.4473696802649766
2004-07-22T19:30:00Z	24.81799713871368	0	-0.42246314448737987	2.3219982938785595	NA
2004-07-22T20:00:00Z	24.57051120043411	0	-0.3780864956272753	2.4780969377911832	0.4759987664009341
